科目代號,學分數,科目名稱(中),科目名稱(英),授課教師(中),授課教師(英),開課系級,上課時間(中),上課時間(英),上課地點,修別,授課語文,"是否為核心通識",異動備註,科目備註說明,
599947021,3.0,大學外文（,College Foreign,李文康,LI CHAN JOSE GERARDO,外文中心,四234,thu09-12 thu 09 10 11,研究250101,選/Elective,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:學生所屬國籍或僑居地之官方語言或主要使用語言為西班牙文，修習本科目之成績及學分不予採計。先修科目為大學外文（一）：西班牙文,
599947031,3.0,大學外文（,College Foreign,李文康,LI CHAN JOSE GERARDO,外文中心,四D56,thu13-16 thu 13 14 15,研究250101,選/Elective,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:學生所屬國籍或僑居地之官方語言或主要使用語言為西班牙文，修習本科目之成績及學分不予採計。先修科目為大學外文（一）：西班牙文,
599947041,3.0,大學外文（,College Foreign,李文康,LI CHAN JOSE GERARDO,外文中心,五234,fri09-12 fri 09 10 11,研究250206,選/Elective,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:學生所屬國籍或僑居地之官方語言或主要使用語言為西班牙文，修習本科目之成績及學分不予採計。先修科目為大學外文（一）：西班牙文,
599948001,3.0,大學外文（,College Foreign,李立林,LI MONIQUE,外文中心,五234,fri09-12 fri 09 10 11,逸仙050101,選/Elective,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:學生所屬國籍或僑居地之官方語言或主要使用語言為法文，修習本科目之成績及學分不予採計。先修科目為大學外文(一)：法文或大學外文,
599948011,3.0,大學外文（,College Foreign,李立林,LI MONIQUE,外文中心,四234,thu09-12 thu 09 10 11,資訊140106,選/Elective,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:學生所屬國籍或僑居地之官方語言或主要使用語言為法文，修習本科目之成績及學分不予採計。先修科目為大學外文(一)：法文或大學外文,
599948021,3.0,大學外文（,College Foreign,李立林,LI MONIQUE,外文中心,四567,thu14-17 thu 14 15 16,資訊140106,選/Elective,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:學生所屬國籍或僑居地之官方語言或主要使用語言為法文，修習本科目之成績及學分不予採計。先修科目為大學外文(一)：法文或大學外文,
599948031,3.0,大學外文（,College Foreign,羅清菁,LO CHING CHING,外文中心,二D56,tue13-16 tue 13 14 15,季陶340302,選/Elective,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:學生所屬國籍或僑居地之官方語言或主要使用語言為法文，修習本科目之成績及學分不予採計。先修科目為大學外文(一)：法文或大學外文,
599949001,3.0,大學外文（,College Foreign,周從郁,Chou Chung Yu,外文中心,一567,mon14-17 mon 14 15 16,資訊140107,選/Elective,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:學生所屬國籍或僑居地之官方語言或主要使用語言為德文，修習本科目之成績及學分不予採計。先修科目為大學外文（一）：德文,
599949011,3.0,大學外文（,College Foreign,周從郁,Chou Chung Yu,外文中心,三D56,wed13-16 wed 13 14 15,研究250206,選/Elective,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:學生所屬國籍或僑居地之官方語言或主要使用語言為德文，修習本科目之成績及學分不予採計。先修科目為大學外文（一）：德文,
599949021,3.0,大學外文（,College Foreign,周從郁,Chou Chung Yu,外文中心,四D56,thu13-16 thu 13 14 15,學思040201,選/Elective,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:學生所屬國籍或僑居地之官方語言或主要使用語言為德文，修習本科目之成績及學分不予採計。先修科目為大學外文（一）：德文,
